shift_id,date,staff_id,staff_name,role,shift_start,hours_worked,hourly_rate,labour_cost,is_weekend,is_event_day
SH20230120S008,2023-01-20,S008,Patrick Hennessy,Supervisor,17,7,18.0,126.0,False,False
SH20230121S002,2023-01-21,S002,Cian O'Sullivan,Bartender,11,8,14.5,116.0,True,False
SH20230121S004,2023-01-21,S004,Declan Byrne,Supervisor,11,8,18.0,144.0,True,False
SH20230121S008,2023-01-21,S008,Patrick Hennessy,Supervisor,13,7,18.0,126.0,True,False
SH20230121S001,2023-01-21,S001,Aoife Murphy,Bartender,17,6,14.5,87.0,True,False
SH20230121S003,2023-01-21,S003,Siobhan Kelly,Bartender,13,8,14.5,116.0,True,False
SH20230122S008,2023-01-22,S008,Patrick Hennessy,Supervisor,13,8,18.0,144.0,True,False
SH20230122S009,2023-01-22,S009,Emma Burke,Kitchen,12,8,15.0,120.0,True,False
SH20230122S006,2023-01-22,S006,Seamus Connolly,Floor Staff,11,8,13.5,108.0,True,False
SH20230122S005,2023-01-22,S005,Niamh Walsh,Bartender,12,7,14.5,101.5,True,False
SH20230122S010,2023-01-22,S010,Liam McCarthy,Kitchen,17,6,15.0,90.0,True,False
SH20230122S007,2023-01-22,S007,Roisin Doyle,Floor Staff,13,7,13.5,94.5,True,False
SH20230123S004,2023-01-23,S004,Declan Byrne,Supervisor,12,6,18.0,108.0,False,False
SH20230123S010,2023-01-23,S010,Liam McCarthy,Kitchen,11,5,15.0,75.0,False,False
SH20230123S001,2023-01-23,S001,Aoife Murphy,Bartender,13,6,14.5,87.0,False,False
SH20230124S001,2023-01-24,S001,Aoife Murphy,Bartender,12,5,14.5,72.5,False,False
SH20230124S003,2023-01-24,S003,Siobhan Kelly,Bartender,17,5,14.5,72.5,False,False
SH20230124S007,2023-01-24,S007,Roisin Doyle,Floor Staff,17,5,13.5,67.5,False,False
SH20230124S006,2023-01-24,S006,Seamus Connolly,Floor Staff,12,5,13.5,67.5,False,False
SH20230125S010,2023-01-25,S010,Liam McCarthy,Kitchen,13,5,15.0,75.0,False,False
SH20230125S003,2023-01-25,S003,Siobhan Kelly,Bartender,11,6,14.5,87.0,False,False
SH20230125S005,2023-01-25,S005,Niamh Walsh,Bartender,17,5,14.5,72.5,False,False
SH20230125S002,2023-01-25,S002,Cian O'Sullivan,Bartender,17,6,14.5,87.0,False,False
SH20230126S002,2023-01-26,S002,Cian O'Sullivan,Bartender,11,6,14.5,87.0,False,False
SH20230126S008,2023-01-26,S008,Patrick Hennessy,Supervisor,17,5,18.0,90.0,False,False
SH20230127S007,2023-01-27,S007,Roisin Doyle,Floor Staff,17,7,13.5,94.5,False,False
SH20230127S004,2023-01-27,S004,Declan Byrne,Supervisor,17,8,18.0,144.0,False,False
SH20230127S001,2023-01-27,S001,Aoife Murphy,Bartender,12,6,14.5,87.0,False,False
SH20230127S008,2023-01-27,S008,Patrick Hennessy,Supervisor,12,7,18.0,126.0,False,False
SH20230127S006,2023-01-27,S006,Seamus Connolly,Floor Staff,12,8,13.5,108.0,False,False
SH20230127S002,2023-01-27,S002,Cian O'Sullivan,Bartender,12,8,14.5,116.0,False,False
SH20230127S009,2023-01-27,S009,Emma Burke,Kitchen,11,6,15.0,90.0,False,False
SH20230127S010,2023-01-27,S010,Liam McCarthy,Kitchen,12,8,15.0,120.0,False,False
SH20230128S008,2023-01-28,S008,Patrick Hennessy,Supervisor,12,8,18.0,144.0,True,False
SH20230128S002,2023-01-28,S002,Cian O'Sullivan,Bartender,17,8,14.5,116.0,True,False
SH20230128S003,2023-01-28,S003,Siobhan Kelly,Bartender,17,7,14.5,101.5,True,False
SH20230128S001,2023-01-28,S001,Aoife Murphy,Bartender,17,6,14.5,87.0,True,False
SH20230128S006,2023-01-28,S006,Seamus Connolly,Floor Staff,17,7,13.5,94.5,True,False
SH20230128S007,2023-01-28,S007,Roisin Doyle,Floor Staff,17,6,13.5,81.0,True,False
SH20230129S003,2023-01-29,S003,Siobhan Kelly,Bartender,13,8,14.5,116.0,True,False
SH20230129S009,2023-01-29,S009,Emma Burke,Kitchen,11,7,15.0,105.0,True,False
SH20230129S002,2023-01-29,S002,Cian O'Sullivan,Bartender,13,6,14.5,87.0,True,False
SH20230129S008,2023-01-29,S008,Patrick Hennessy,Supervisor,12,7,18.0,126.0,True,False
SH20230129S007,2023-01-29,S007,Roisin Doyle,Floor Staff,11,8,13.5,108.0,True,False
SH20230129S001,2023-01-29,S001,Aoife Murphy,Bartender,11,7,14.5,101.5,True,False
SH20230129S006,2023-01-29,S006,Seamus Connolly,Floor Staff,13,8,13.5,108.0,True,False
SH20230130S005,2023-01-30,S005,Niamh Walsh,Bartender,17,5,14.5,72.5,False,False
SH20230130S010,2023-01-30,S010,Liam McCarthy,Kitchen,11,5,15.0,75.0,False,False
SH20230130S002,2023-01-30,S002,Cian O'Sullivan,Bartender,17,6,14.5,87.0,False,False
SH20230130S003,2023-01-30,S003,Siobhan Kelly,Bartender,13,5,14.5,72.5,False,False
SH20230131S008,2023-01-31,S008,Patrick Hennessy,Supervisor,12,6,18.0,108.0,False,False
SH20230131S001,2023-01-31,S001,Aoife Murphy,Bartender,12,5,14.5,72.5,False,False
SH20230201S001,2023-02-01,S001,Aoife Murphy,Bartender,17,5,14.5,72.5,False,False
SH20230201S002,2023-02-01,S002,Cian O'Sullivan,Bartender,12,5,14.5,72.5,False,False
SH20230201S009,2023-02-01,S009,Emma Burke,Kitchen,11,6,15.0,90.0,False,False
SH20230201S010,2023-02-01,S010,Liam McCarthy,Kitchen,11,6,15.0,90.0,False,False
SH20230202S007,2023-02-02,S007,Roisin Doyle,Floor Staff,11,5,13.5,67.5,False,False
SH20230202S003,2023-02-02,S003,Siobhan Kelly,Bartender,17,6,14.5,87.0,False,False
SH20230202S009,2023-02-02,S009,Emma Burke,Kitchen,13,5,15.0,75.0,False,False
SH20230203S003,2023-02-03,S003,Siobhan Kelly,Bartender,13,6,14.5,87.0,False,False
SH20230203S002,2023-02-03,S002,Cian O'Sullivan,Bartender,17,7,14.5,101.5,False,False
SH20230203S004,2023-02-03,S004,Declan Byrne,Supervisor,12,8,18.0,144.0,False,False
SH20230203S007,2023-02-03,S007,Roisin Doyle,Floor Staff,11,7,13.5,94.5,False,False
SH20230203S010,2023-02-03,S010,Liam McCarthy,Kitchen,17,6,15.0,90.0,False,False
SH20230203S005,2023-02-03,S005,Niamh Walsh,Bartender,17,6,14.5,87.0,False,False
SH20230203S009,2023-02-03,S009,Emma Burke,Kitchen,12,8,15.0,120.0,False,False
SH20230204S007,2023-02-04,S007,Roisin Doyle,Floor Staff,12,8,13.5,108.0,True,False
SH20230204S005,2023-02-04,S005,Niamh Walsh,Bartender,12,8,14.5,116.0,True,False
SH20230204S006,2023-02-04,S006,Seamus Connolly,Floor Staff,11,6,13.5,81.0,True,False
SH20230204S003,2023-02-04,S003,Siobhan Kelly,Bartender,11,7,14.5,101.5,True,False
SH20230204S010,2023-02-04,S010,Liam McCarthy,Kitchen,11,8,15.0,120.0,True,False
SH20230204S008,2023-02-04,S008,Patrick Hennessy,Supervisor,17,8,18.0,144.0,True,False
SH20230204S001,2023-02-04,S001,Aoife Murphy,Bartender,12,7,14.5,101.5,True,False
SH20230205S010,2023-02-05,S010,Liam McCarthy,Kitchen,13,7,15.0,105.0,True,False
SH20230205S005,2023-02-05,S005,Niamh Walsh,Bartender,13,7,14.5,101.5,True,False
SH20230205S002,2023-02-05,S002,Cian O'Sullivan,Bartender,17,7,14.5,101.5,True,False
SH20230205S003,2023-02-05,S003,Siobhan Kelly,Bartender,17,8,14.5,116.0,True,False
SH20230205S004,2023-02-05,S004,Declan Byrne,Supervisor,12,6,18.0,108.0,True,False
SH20230205S001,2023-02-05,S001,Aoife Murphy,Bartender,12,6,14.5,87.0,True,False
SH20230205S007,2023-02-05,S007,Roisin Doyle,Floor Staff,11,8,13.5,108.0,True,False
SH20230205S006,2023-02-05,S006,Seamus Connolly,Floor Staff,11,6,13.5,81.0,True,False
SH20230206S007,2023-02-06,S007,Roisin Doyle,Floor Staff,11,6,13.5,81.0,False,False
SH20230206S001,2023-02-06,S001,Aoife Murphy,Bartender,17,6,14.5,87.0,False,False
SH20230206S010,2023-02-06,S010,Liam McCarthy,Kitchen,11,5,15.0,75.0,False,False
SH20230207S008,2023-02-07,S008,Patrick Hennessy,Supervisor,11,6,18.0,108.0,False,False
SH20230207S003,2023-02-07,S003,Siobhan Kelly,Bartender,13,6,14.5,87.0,False,False
SH20230208S006,2023-02-08,S006,Seamus Connolly,Floor Staff,17,6,13.5,81.0,False,False
SH20230208S010,2023-02-08,S010,Liam McCarthy,Kitchen,11,6,15.0,90.0,False,False
SH20230209S002,2023-02-09,S002,Cian O'Sullivan,Bartender,17,6,14.5,87.0,False,False
SH20230209S009,2023-02-09,S009,Emma Burke,Kitchen,12,5,15.0,75.0,False,False
SH20230209S008,2023-02-09,S008,Patrick Hennessy,Supervisor,11,5,18.0,90.0,False,False
SH20230209S010,2023-02-09,S010,Liam McCarthy,Kitchen,13,6,15.0,90.0,False,False
SH20230210S010,2023-02-10,S010,Liam McCarthy,Kitchen,13,8,15.0,120.0,False,False
SH20230210S006,2023-02-10,S006,Seamus Connolly,Floor Staff,11,8,13.5,108.0,False,False
SH20230210S009,2023-02-10,S009,Emma Burke,Kitchen,12,8,15.0,120.0,False,False
SH20230210S004,2023-02-10,S004,Declan Byrne,Supervisor,11,6,18.0,108.0,False,False
SH20230210S001,2023-02-10,S001,Aoife Murphy,Bartender,17,7,14.5,101.5,False,False
SH20230210S005,2023-02-10,S005,Niamh Walsh,Bartender,13,7,14.5,101.5,False,False
SH20230211S009,2023-02-11,S009,Emma Burke,Kitchen,11,6,15.0,90.0,True,False
SH20230211S003,2023-02-11,S003,Siobhan Kelly,Bartender,12,7,14.5,101.5,True,False
SH20230211S008,2023-02-11,S008,Patrick Hennessy,Supervisor,12,6,18.0,108.0,True,False
SH20230211S002,2023-02-11,S002,Cian O'Sullivan,Bartender,11,8,14.5,116.0,True,False
SH20230211S001,2023-02-11,S001,Aoife Murphy,Bartender,11,7,14.5,101.5,True,False
SH20230211S010,2023-02-11,S010,Liam McCarthy,Kitchen,17,7,15.0,105.0,True,False
SH20230212S009,2023-02-12,S009,Emma Burke,Kitchen,11,7,15.0,105.0,True,False
SH20230212S002,2023-02-12,S002,Cian O'Sullivan,Bartender,13,8,14.5,116.0,True,False
SH20230212S007,2023-02-12,S007,Roisin Doyle,Floor Staff,13,6,13.5,81.0,True,False
SH20230212S005,2023-02-12,S005,Niamh Walsh,Bartender,12,7,14.5,101.5,True,False
SH20230212S008,2023-02-12,S008,Patrick Hennessy,Supervisor,17,8,18.0,144.0,True,False
SH20230213S004,2023-02-13,S004,Declan Byrne,Supervisor,17,6,18.0,108.0,False,False
SH20230213S001,2023-02-13,S001,Aoife Murphy,Bartender,12,6,14.5,87.0,False,False
SH20230214S009,2023-02-14,S009,Emma Burke,Kitchen,12,6,15.0,90.0,False,False
SH20230214S010,2023-02-14,S010,Liam McCarthy,Kitchen,11,6,15.0,90.0,False,False
SH20230214S002,2023-02-14,S002,Cian O'Sullivan,Bartender,13,5,14.5,72.5,False,False
SH20230214S003,2023-02-14,S003,Siobhan Kelly,Bartender,17,6,14.5,87.0,False,False
SH20230215S010,2023-02-15,S010,Liam McCarthy,Kitchen,13,6,15.0,90.0,False,False
SH20230215S003,2023-02-15,S003,Siobhan Kelly,Bartender,17,5,14.5,72.5,False,False
SH20230215S005,2023-02-15,S005,Niamh Walsh,Bartender,12,6,14.5,87.0,False,False
SH20230216S002,2023-02-16,S002,Cian O'Sullivan,Bartender,13,5,14.5,72.5,False,False
SH20230216S005,2023-02-16,S005,Niamh Walsh,Bartender,17,6,14.5,87.0,False,False
SH20230216S001,2023-02-16,S001,Aoife Murphy,Bartender,13,6,14.5,87.0,False,False
SH20230217S001,2023-02-17,S001,Aoife Murphy,Bartender,11,7,14.5,101.5,False,False
SH20230217S004,2023-02-17,S004,Declan Byrne,Supervisor,11,6,18.0,108.0,False,False
SH20230217S006,2023-02-17,S006,Seamus Connolly,Floor Staff,11,7,13.5,94.5,False,False
SH20230217S005,2023-02-17,S005,Niamh Walsh,Bartender,13,7,14.5,101.5,False,False
SH20230217S009,2023-02-17,S009,Emma Burke,Kitchen,17,8,15.0,120.0,False,False
SH20230217S010,2023-02-17,S010,Liam McCarthy,Kitchen,13,8,15.0,120.0,False,False
SH20230218S009,2023-02-18,S009,Emma Burke,Kitchen,17,8,15.0,120.0,True,False
SH20230218S005,2023-02-18,S005,Niamh Walsh,Bartender,13,6,14.5,87.0,True,False
SH20230218S001,2023-02-18,S001,Aoife Murphy,Bartender,13,8,14.5,116.0,True,False
SH20230218S010,2023-02-18,S010,Liam McCarthy,Kitchen,13,7,15.0,105.0,True,False
SH20230218S008,2023-02-18,S008,Patrick Hennessy,Supervisor,11,8,18.0,144.0,True,False
SH20230218S004,2023-02-18,S004,Declan Byrne,Supervisor,11,7,18.0,126.0,True,False
SH20230219S004,2023-02-19,S004,Declan Byrne,Supervisor,17,6,18.0,108.0,True,False
SH20230219S002,2023-02-19,S002,Cian O'Sullivan,Bartender,11,6,14.5,87.0,True,False
SH20230219S001,2023-02-19,S001,Aoife Murphy,Bartender,12,7,14.5,101.5,True,False
SH20230219S007,2023-02-19,S007,Roisin Doyle,Floor Staff,11,6,13.5,81.0,True,False
SH20230219S008,2023-02-19,S008,Patrick Hennessy,Supervisor,12,6,18.0,108.0,True,False
SH20230219S006,2023-02-19,S006,Seamus Connolly,Floor Staff,12,6,13.5,81.0,True,False
SH20230219S010,2023-02-19,S010,Liam McCarthy,Kitchen,13,7,15.0,105.0,True,False
SH20230219S005,2023-02-19,S005,Niamh Walsh,Bartender,17,7,14.5,101.5,True,False
SH20230220S009,2023-02-20,S009,Emma Burke,Kitchen,12,6,15.0,90.0,False,False
SH20230220S010,2023-02-20,S010,Liam McCarthy,Kitchen,13,6,15.0,90.0,False,False
SH20230220S006,2023-02-20,S006,Seamus Connolly,Floor Staff,11,5,13.5,67.5,False,False
SH20230220S007,2023-02-20,S007,Roisin Doyle,Floor Staff,12,5,13.5,67.5,False,False
SH20230221S004,2023-02-21,S004,Declan Byrne,Supervisor,17,6,18.0,108.0,False,False
SH20230221S005,2023-02-21,S005,Niamh Walsh,Bartender,17,5,14.5,72.5,False,False
SH20230222S006,2023-02-22,S006,Seamus Connolly,Floor Staff,12,5,13.5,67.5,False,False
SH20230222S010,2023-02-22,S010,Liam McCarthy,Kitchen,12,5,15.0,75.0,False,False
SH20230223S005,2023-02-23,S005,Niamh Walsh,Bartender,17,5,14.5,72.5,False,False
SH20230223S003,2023-02-23,S003,Siobhan Kelly,Bartender,17,6,14.5,87.0,False,False
SH20230223S004,2023-02-23,S004,Declan Byrne,Supervisor,11,6,18.0,108.0,False,False
SH20230223S007,2023-02-23,S007,Roisin Doyle,Floor Staff,12,6,13.5,81.0,False,False
SH20230224S009,2023-02-24,S009,Emma Burke,Kitchen,13,8,15.0,120.0,False,False
SH20230224S007,2023-02-24,S007,Roisin Doyle,Floor Staff,13,8,13.5,108.0,False,False
SH20230224S008,2023-02-24,S008,Patrick Hennessy,Supervisor,12,8,18.0,144.0,False,False
SH20230224S002,2023-02-24,S002,Cian O'Sullivan,Bartender,12,6,14.5,87.0,False,False
SH20230224S001,2023-02-24,S001,Aoife Murphy,Bartender,12,7,14.5,101.5,False,False
SH20230224S006,2023-02-24,S006,Seamus Connolly,Floor Staff,12,8,13.5,108.0,False,False
SH20230224S003,2023-02-24,S003,Siobhan Kelly,Bartender,12,7,14.5,101.5,False,False
SH20230225S004,2023-02-25,S004,Declan Byrne,Supervisor,12,7,18.0,126.0,True,False
SH20230225S003,2023-02-25,S003,Siobhan Kelly,Bartender,11,8,14.5,116.0,True,False
SH20230225S008,2023-02-25,S008,Patrick Hennessy,Supervisor,17,7,18.0,126.0,True,False
SH20230225S001,2023-02-25,S001,Aoife Murphy,Bartender,13,7,14.5,101.5,True,False
SH20230225S010,2023-02-25,S010,Liam McCarthy,Kitchen,17,7,15.0,105.0,True,False
SH20230225S002,2023-02-25,S002,Cian O'Sullivan,Bartender,12,6,14.5,87.0,True,False
SH20230226S004,2023-02-26,S004,Declan Byrne,Supervisor,17,6,18.0,108.0,True,False
SH20230226S001,2023-02-26,S001,Aoife Murphy,Bartender,13,6,14.5,87.0,True,False
SH20230226S005,2023-02-26,S005,Niamh Walsh,Bartender,12,7,14.5,101.5,True,False
SH20230226S010,2023-02-26,S010,Liam McCarthy,Kitchen,12,8,15.0,120.0,True,False
SH20230226S006,2023-02-26,S006,Seamus Connolly,Floor Staff,11,7,13.5,94.5,True,False
SH20230226S003,2023-02-26,S003,Siobhan Kelly,Bartender,11,6,14.5,87.0,True,False
SH20230227S008,2023-02-27,S008,Patrick Hennessy,Supervisor,17,6,18.0,108.0,False,False
SH20230227S001,2023-02-27,S001,Aoife Murphy,Bartender,11,6,14.5,87.0,False,False
SH20230227S005,2023-02-27,S005,Niamh Walsh,Bartender,17,5,14.5,72.5,False,False
SH20230228S005,2023-02-28,S005,Niamh Walsh,Bartender,17,5,14.5,72.5,False,False
SH20230228S003,2023-02-28,S003,Siobhan Kelly,Bartender,11,6,14.5,87.0,False,False
SH20230228S010,2023-02-28,S010,Liam McCarthy,Kitchen,12,6,15.0,90.0,False,False
SH20230301S005,2023-03-01,S005,Niamh Walsh,Bartender,12,6,14.5,87.0,False,False
SH20230301S001,2023-03-01,S001,Aoife Murphy,Bartender,17,5,14.5,72.5,False,False
SH20230302S003,2023-03-02,S003,Siobhan Kelly,Bartender,17,6,14.5,87.0,False,False
SH20230302S008,2023-03-02,S008,Patrick Hennessy,Supervisor,11,6,18.0,108.0,False,False
SH20230302S007,2023-03-02,S007,Roisin Doyle,Floor Staff,17,5,13.5,67.5,False,False
SH20230303S002,2023-03-03,S002,Cian O'Sullivan,Bartender,13,7,14.5,101.5,False,False
SH20230303S003,2023-03-03,S003,Siobhan Kelly,Bartender,12,7,14.5,101.5,False,False
SH20230303S001,2023-03-03,S001,Aoife Murphy,Bartender,17,6,14.5,87.0,False,False
SH20230303S006,2023-03-03,S006,Seamus Connolly,Floor Staff,17,8,13.5,108.0,False,False
SH20230303S005,2023-03-03,S005,Niamh Walsh,Bartender,13,8,14.5,116.0,False,False
SH20230303S004,2023-03-03,S004,Declan Byrne,Supervisor,17,6,18.0,108.0,False,False
SH20230304S003,2023-03-04,S003,Siobhan Kelly,Bartender,17,7,14.5,101.5,True,False
SH20230304S008,2023-03-04,S008,Patrick Hennessy,Supervisor,17,7,18.0,126.0,True,False
SH20230304S004,2023-03-04,S004,Declan Byrne,Supervisor,11,8,18.0,144.0,True,False
