customer_id,first_name,last_name,email,join_date,total_visits,avg_spend_eur,total_spend_eur,loyalty_points,segment,preferred_category,is_active
C0070,Emma,Byrne,emma.byrne@gmail.com,2023-11-14,77,68.14,5246.78,770,VIP,Draught Beer,True
C0071,Conor,Hennessy,conor71@gmail.com,2023-07-20,38,29.01,1102.38,228,Regular,Spirits,True
C0072,Emma,Hennessy,emma.hennessy@gmail.com,2023-06-21,69,78.06,5386.14,414,VIP,Non-Alcoholic,True
C0073,Ciara,Byrne,ciara.byrne@gmail.com,2023-09-09,18,31.8,572.4,162,Occasional,Wine,True
C0074,Grainne,O'Sullivan,grainne.osullivan@gmail.com,2024-08-03,77,68.37,5264.49,924,VIP,Food,True
C0075,Orla,Burke,orla.burke@gmail.com,2023-02-10,62,16.0,992.0,620,VIP,Draught Beer,True
C0076,Patrick,Byrne,patrick.byrne@gmail.com,2024-07-22,90,55.65,5008.5,540,VIP,Spirits,True
C0077,Roisin,Kavanagh,roisin.kavanagh@gmail.com,2024-07-24,17,23.19,394.23,102,Occasional,Food,True
C0078,Darragh,Doyle,darragh.doyle@gmail.com,2024-06-22,107,17.36,1857.52,856,VIP,Food,True
C0079,Liam,O'Brien,liam.obrien@gmail.com,2023-03-27,98,24.14,2365.72,1176,VIP,Draught Beer,True
C0080,Declan,Connolly,declan.connolly@gmail.com,2024-02-25,85,80.9,6876.5,1190,VIP,Draught Beer,True
C0081,Jack,Connolly,jack.connolly@gmail.com,2023-11-08,70,49.68,3477.6,770,VIP,Non-Alcoholic,True
C0082,Aisling,Byrne,aisling.byrne@gmail.com,2023-07-10,20,39.37,787.4,240,Regular,Food,True
C0083,Declan,Ryan,declan.ryan@gmail.com,2023-06-22,24,75.14,1803.36,120,Regular,Non-Alcoholic,True
C0084,Jack,Burke,jack84@gmail.com,2024-05-31,43,37.06,1593.58,430,Regular,Draught Beer,True
C0085,Conor,Hennessy,conor85@gmail.com,2023-11-23,80,18.68,1494.4,960,VIP,Food,True
C0086,Ciara,Walsh,ciara86@gmail.com,2023-11-22,27,25.97,701.19,162,Regular,Spirits,True
C0087,Ciara,Brennan,ciara87@gmail.com,2024-02-21,94,24.7,2321.8,940,VIP,Spirits,True
C0088,Roisin,O'Sullivan,roisin88@gmail.com,2023-01-06,45,58.48,2631.6,630,Regular,Non-Alcoholic,True
C0089,Darragh,Burke,darragh89@gmail.com,2023-11-17,41,59.22,2428.02,615,Regular,Spirits,True
C0090,Declan,Doyle,declan90@gmail.com,2024-04-25,104,52.28,5437.12,1352,VIP,Spirits,True
C0091,Jack,Connolly,jack91@gmail.com,2023-09-24,51,42.85,2185.35,561,VIP,Draught Beer,True
C0092,Maeve,Doyle,maeve.doyle@gmail.com,2023-10-12,117,72.67,8502.39,936,VIP,Spirits,True
C0093,Ciara,Burke,ciara.burke@gmail.com,2024-06-21,96,41.37,3971.52,768,VIP,Wine,True
C0094,Fionn,Kelly,fionn.kelly@gmail.com,2023-04-09,49,53.53,2622.97,245,Regular,Food,True
C0095,Fionn,O'Sullivan,fionn.osullivan@gmail.com,2024-06-10,11,54.0,594.0,110,Occasional,Food,True
C0096,Siobhan,O'Sullivan,siobhan.osullivan@gmail.com,2023-06-15,1,44.56,44.56,12,New,Non-Alcoholic,False
C0097,Patrick,Ryan,patrick.ryan@gmail.com,2024-04-05,64,63.66,4074.24,512,VIP,Draught Beer,True
C0098,Declan,Byrne,declan.byrne@gmail.com,2023-04-02,50,78.15,3907.5,550,VIP,Non-Alcoholic,True
C0099,Darragh,Byrne,darragh99@gmail.com,2023-04-18,34,72.5,2465.0,272,Regular,Wine,True
C0100,Cian,O'Sullivan,cian.osullivan@gmail.com,2024-06-27,114,52.06,5934.84,1368,VIP,Draught Beer,True
C0101,Jack,Kavanagh,jack.kavanagh@gmail.com,2023-11-27,77,39.92,3073.84,539,VIP,Draught Beer,True
C0102,Siobhan,Kavanagh,siobhan102@gmail.com,2023-06-03,95,37.19,3533.05,1425,VIP,Draught Beer,True
C0103,Niamh,Doyle,niamh103@gmail.com,2023-09-30,44,81.52,3586.88,352,Regular,Spirits,True
C0104,Liam,Kelly,liam.kelly@gmail.com,2023-07-30,60,51.07,3064.2,300,VIP,Non-Alcoholic,True
C0105,Sean,Kavanagh,sean.kavanagh@gmail.com,2024-06-06,62,35.07,2174.34,744,VIP,Food,True
C0106,Sinead,Doyle,sinead.doyle@gmail.com,2023-07-31,86,55.36,4760.96,774,VIP,Draught Beer,True
C0107,Declan,Murphy,declan.murphy@gmail.com,2024-08-07,74,70.15,5191.1,666,VIP,Spirits,True
C0108,Ciara,Connolly,ciara.connolly@gmail.com,2023-01-20,83,36.87,3060.21,913,VIP,Wine,True
C0109,Oisin,Walsh,oisin.walsh@gmail.com,2023-10-19,89,68.9,6132.1,979,VIP,Food,True
C0110,Grainne,Murphy,grainne.murphy@gmail.com,2023-11-22,109,64.81,7064.29,1199,VIP,Wine,True
C0111,Sean,McCarthy,sean111@gmail.com,2023-02-12,69,28.58,1972.02,966,VIP,Food,True
C0112,Conor,Byrne,conor.byrne@gmail.com,2023-03-28,54,50.1,2705.4,378,VIP,Spirits,True
C0113,Emma,McCarthy,emma.mccarthy@gmail.com,2023-03-03,93,60.28,5606.04,465,VIP,Food,True
C0114,Caoimhe,Walsh,caoimhe.walsh@gmail.com,2023-10-19,39,45.17,1761.63,507,Regular,Food,True
C0115,Eoin,O'Brien,eoin115@gmail.com,2023-04-19,60,25.41,1524.6,780,VIP,Draught Beer,True
C0116,Maeve,Murphy,maeve.murphy@gmail.com,2023-07-07,12,36.36,436.32,180,Occasional,Wine,True
C0117,Sinead,Byrne,sinead.byrne@gmail.com,2024-01-06,9,34.66,311.94,81,Occasional,Non-Alcoholic,True
C0118,Eoin,O'Brien,eoin118@gmail.com,2024-07-24,65,22.28,1448.2,715,VIP,Draught Beer,True
C0119,Siobhan,Ryan,siobhan.ryan@gmail.com,2023-08-24,1,50.65,50.65,5,New,Spirits,False
C0120,Grainne,Walsh,grainne.walsh@gmail.com,2024-02-12,69,18.3,1262.7,966,VIP,Spirits,True
C0121,Darragh,Connolly,darragh121@gmail.com,2024-01-17,84,38.49,3233.16,1092,VIP,Draught Beer,True
C0122,Ciara,Walsh,ciara122@gmail.com,2023-12-26,85,81.15,6897.75,1020,VIP,Spirits,True
C0123,Sean,Kelly,sean.kelly@gmail.com,2024-01-07,95,23.14,2198.3,855,VIP,Draught Beer,True
C0124,Declan,Connolly,declan124@gmail.com,2024-03-14,56,24.45,1369.2,840,VIP,Spirits,True
C0125,Roisin,Walsh,roisin.walsh@gmail.com,2023-11-17,74,42.82,3168.68,888,VIP,Non-Alcoholic,True
C0126,Aisling,O'Brien,aisling126@gmail.com,2023-05-13,4,44.84,179.36,40,New,Spirits,True
C0127,Eoin,Kavanagh,eoin.kavanagh@gmail.com,2023-04-29,26,17.7,460.2,234,Regular,Non-Alcoholic,True
C0128,Aisling,O'Sullivan,aisling.osullivan@gmail.com,2024-02-19,37,79.64,2946.68,407,Regular,Draught Beer,True
C0129,Jack,Connolly,jack129@gmail.com,2023-10-10,86,34.18,2939.48,946,VIP,Draught Beer,True
C0130,Caoimhe,O'Brien,caoimhe.obrien@gmail.com,2024-07-28,24,32.56,781.44,168,Regular,Wine,True
C0131,Eoin,Connolly,eoin.connolly@gmail.com,2023-08-22,110,32.46,3570.6,550,VIP,Food,True
C0132,Aoife,Doyle,aoife.doyle@gmail.com,2024-06-12,28,66.87,1872.36,168,Regular,Draught Beer,True
C0133,Caoimhe,Murphy,caoimhe133@gmail.com,2023-08-31,98,34.76,3406.48,490,VIP,Spirits,True
C0134,Siobhan,Ryan,siobhan134@gmail.com,2023-09-23,36,73.57,2648.52,396,Regular,Wine,True
C0135,Siobhan,McCarthy,siobhan135@gmail.com,2024-05-31,40,68.13,2725.2,560,Regular,Non-Alcoholic,True
C0136,Oisin,O'Sullivan,oisin.osullivan@gmail.com,2023-06-21,14,42.52,595.28,182,Occasional,Spirits,True
C0137,Orla,Byrne,orla.byrne@gmail.com,2023-07-23,109,23.49,2560.41,1199,VIP,Non-Alcoholic,True
C0138,Patrick,Doyle,patrick.doyle@gmail.com,2024-04-05,33,46.89,1547.37,330,Regular,Wine,True
C0139,Roisin,O'Sullivan,roisin139@gmail.com,2024-06-29,58,68.92,3997.36,870,VIP,Non-Alcoholic,True
C0140,Emma,Byrne,emma140@gmail.com,2023-06-03,16,19.72,315.52,240,Occasional,Spirits,True
C0141,Darragh,Murphy,darragh.murphy@gmail.com,2023-07-18,28,59.73,1672.44,336,Regular,Non-Alcoholic,True
C0142,Maeve,Burke,maeve142@gmail.com,2023-10-11,44,23.25,1023.0,264,Regular,Wine,True
C0143,Darragh,Byrne,darragh143@gmail.com,2023-12-22,57,74.05,4220.85,513,VIP,Food,True
C0144,Roisin,Doyle,roisin144@gmail.com,2023-06-15,56,69.89,3913.84,560,VIP,Food,True
C0145,Sean,Doyle,sean145@gmail.com,2023-06-14,14,79.95,1119.3,112,Occasional,Spirits,True
C0146,Declan,Kelly,declan.kelly@gmail.com,2024-02-10,114,33.92,3866.88,684,VIP,Non-Alcoholic,True
C0147,Jack,Connolly,jack147@gmail.com,2023-01-14,118,56.77,6698.86,1770,VIP,Food,True
C0148,Cian,O'Brien,cian.obrien@gmail.com,2024-03-03,29,32.86,952.94,261,Regular,Spirits,True
C0149,Conor,O'Brien,conor.obrien@gmail.com,2023-01-21,47,37.64,1769.08,329,Regular,Wine,True
C0150,Liam,Ryan,liam.ryan@gmail.com,2024-08-01,4,84.33,337.32,60,New,Draught Beer,True
C0151,Roisin,Ryan,roisin.ryan@gmail.com,2023-12-15,52,29.41,1529.32,416,VIP,Spirits,True
C0152,Patrick,Hennessy,patrick.hennessy@gmail.com,2023-06-10,100,16.35,1635.0,1000,VIP,Food,True
C0153,Niamh,O'Brien,niamh.obrien@gmail.com,2024-04-01,29,49.65,1439.85,406,Regular,Spirits,True
C0154,Grainne,Kelly,grainne154@gmail.com,2023-08-21,93,23.1,2148.3,1209,VIP,Spirits,True
C0155,Caoimhe,Walsh,caoimhe155@gmail.com,2023-06-16,44,68.38,3008.72,220,Regular,Food,True
C0156,Patrick,Byrne,patrick156@gmail.com,2024-08-09,67,71.21,4771.07,670,VIP,Spirits,True
C0157,Emma,Byrne,emma157@gmail.com,2024-06-16,116,26.92,3122.72,1044,VIP,Spirits,True
C0158,Aoife,Kavanagh,aoife158@gmail.com,2024-05-08,74,39.01,2886.74,444,VIP,Food,True
C0159,Cian,Walsh,cian.walsh@gmail.com,2024-04-07,98,67.15,6580.7,1470,VIP,Draught Beer,True
C0160,Caoimhe,Kavanagh,caoimhe.kavanagh@gmail.com,2024-01-05,82,74.92,6143.44,1230,VIP,Non-Alcoholic,True
C0161,Sean,Connolly,sean.connolly@gmail.com,2023-12-14,11,59.29,652.19,110,Occasional,Non-Alcoholic,True
C0162,Darragh,Kelly,darragh.kelly@gmail.com,2024-05-05,3,37.49,112.47,42,New,Non-Alcoholic,False
C0163,Brendan,Burke,brendan.burke@gmail.com,2023-06-09,98,21.6,2116.8,686,VIP,Food,True
C0164,Jack,O'Sullivan,jack.osullivan@gmail.com,2024-01-05,101,55.36,5591.36,606,VIP,Spirits,True
C0165,Fionn,Hennessy,fionn165@gmail.com,2024-05-20,47,75.1,3529.7,235,Regular,Draught Beer,True
C0166,Aoife,Burke,aoife.burke@gmail.com,2024-02-23,68,21.96,1493.28,476,VIP,Spirits,True
C0167,Emma,Doyle,emma.doyle@gmail.com,2024-06-03,25,29.59,739.75,300,Regular,Food,True
C0168,Oisin,Hennessy,oisin168@gmail.com,2024-03-13,86,78.68,6766.48,1204,VIP,Food,True
C0169,Emma,Walsh,emma.walsh@gmail.com,2023-05-04,20,23.63,472.6,280,Regular,Wine,True
C0170,Liam,Murphy,liam.murphy@gmail.com,2023-03-10,25,54.63,1365.75,375,Regular,Draught Beer,True
C0171,Siobhan,Walsh,siobhan.walsh@gmail.com,2023-08-10,120,72.63,8715.6,840,VIP,Spirits,True
C0172,Grainne,Ryan,grainne.ryan@gmail.com,2024-03-22,23,34.5,793.5,138,Regular,Food,True
C0173,Eoin,Kavanagh,eoin173@gmail.com,2023-01-06,7,37.15,260.05,35,Occasional,Food,True
C0174,Declan,O'Sullivan,declan.osullivan@gmail.com,2023-02-01,54,21.7,1171.8,810,VIP,Non-Alcoholic,True
C0175,Declan,O'Sullivan,declan175@gmail.com,2023-09-06,115,34.57,3975.55,1150,VIP,Wine,True
C0176,Ciara,Burke,ciara176@gmail.com,2023-02-04,65,30.26,1966.9,455,VIP,Food,True
C0177,Maeve,Connolly,maeve.connolly@gmail.com,2023-10-06,64,37.77,2417.28,512,VIP,Food,True
C0178,Conor,Kelly,conor178@gmail.com,2023-01-16,80,80.11,6408.8,400,VIP,Spirits,True
C0179,Declan,Connolly,declan179@gmail.com,2024-02-26,112,71.11,7964.32,1680,VIP,Draught Beer,True
C0180,Emma,Murphy,emma.murphy@gmail.com,2023-01-09,38,23.0,874.0,494,Regular,Non-Alcoholic,True
C0181,Maeve,Doyle,maeve181@gmail.com,2023-04-29,47,46.39,2180.33,423,Regular,Draught Beer,True
C0182,Darragh,O'Brien,darragh.obrien@gmail.com,2023-10-14,79,63.58,5022.82,632,VIP,Wine,True
C0183,Oisin,Connolly,oisin183@gmail.com,2023-01-18,87,83.87,7296.69,1044,VIP,Spirits,True
C0184,Aoife,O'Sullivan,aoife.osullivan@gmail.com,2023-08-29,108,45.76,4942.08,540,VIP,Food,True
C0185,Patrick,McCarthy,patrick.mccarthy@gmail.com,2023-12-07,31,81.94,2540.14,403,Regular,Spirits,True
C0186,Roisin,O'Brien,roisin.obrien@gmail.com,2024-07-09,8,41.48,331.84,96,Occasional,Draught Beer,True
C0187,Maeve,Doyle,maeve187@gmail.com,2023-01-05,40,49.37,1974.8,320,Regular,Spirits,True
C0188,Conor,O'Sullivan,conor188@gmail.com,2024-02-03,34,48.84,1660.56,170,Regular,Food,True
C0189,Eoin,O'Sullivan,eoin.osullivan@gmail.com,2024-01-01,47,44.12,2073.64,423,Regular,Draught Beer,True
C0190,Sinead,Byrne,sinead190@gmail.com,2023-08-23,22,53.89,1185.58,198,Regular,Wine,True
C0191,Aoife,McCarthy,aoife.mccarthy@gmail.com,2024-06-05,69,22.94,1582.86,966,VIP,Draught Beer,True
C0192,Roisin,O'Brien,roisin192@gmail.com,2024-07-20,52,61.28,3186.56,624,VIP,Spirits,True
C0193,Jack,Hennessy,jack.hennessy@gmail.com,2023-02-13,94,76.74,7213.56,1034,VIP,Draught Beer,True
C0194,Grainne,Walsh,grainne194@gmail.com,2023-10-03,101,30.27,3057.27,1010,VIP,Spirits,True
C0195,Ciara,O'Brien,ciara.obrien@gmail.com,2024-01-30,37,31.44,1163.28,407,Regular,Food,True
C0196,Patrick,O'Sullivan,patrick.osullivan@gmail.com,2024-08-05,88,28.87,2540.56,440,VIP,Food,True
C0197,Orla,Kelly,orla197@gmail.com,2024-07-31,23,21.38,491.74,230,Regular,Spirits,True
C0198,Aoife,Burke,aoife198@gmail.com,2024-05-28,45,30.72,1382.4,225,Regular,Food,True
C0199,Fionn,Kelly,fionn199@gmail.com,2023-04-21,35,34.48,1206.8,210,Regular,Non-Alcoholic,True
C0200,Patrick,Byrne,patrick200@gmail.com,2023-07-30,62,59.05,3661.1,868,VIP,Draught Beer,True
C0201,Patrick,Burke,patrick.burke@gmail.com,2023-10-09,105,40.0,4200.0,1365,VIP,Non-Alcoholic,True
C0202,Aoife,McCarthy,aoife202@gmail.com,2024-05-30,95,49.71,4722.45,855,VIP,Draught Beer,True
C0203,Darragh,Ryan,darragh.ryan@gmail.com,2023-11-02,37,68.84,2547.08,296,Regular,Draught Beer,True
C0204,Roisin,Kelly,roisin.kelly@gmail.com,2024-07-13,67,65.63,4397.21,469,VIP,Non-Alcoholic,True
C0205,Grainne,Walsh,grainne205@gmail.com,2023-06-05,18,45.14,812.52,162,Occasional,Draught Beer,True
C0206,Aisling,Ryan,aisling.ryan@gmail.com,2023-01-30,99,64.86,6421.14,1287,VIP,Non-Alcoholic,True
C0207,Sean,Murphy,sean.murphy@gmail.com,2023-11-18,73,37.3,2722.9,438,VIP,Spirits,True
C0208,Niamh,Hennessy,niamh.hennessy@gmail.com,2023-01-22,119,63.9,7604.1,1547,VIP,Food,True
C0209,Fionn,Hennessy,fionn209@gmail.com,2024-05-12,42,38.42,1613.64,252,Regular,Non-Alcoholic,True
C0210,Emma,Murphy,emma210@gmail.com,2024-01-10,63,41.34,2604.42,630,VIP,Draught Beer,True
C0211,Jack,Connolly,jack211@gmail.com,2023-09-19,5,61.5,307.5,50,Occasional,Draught Beer,True
C0212,Roisin,Ryan,roisin212@gmail.com,2024-06-21,69,21.89,1510.41,966,VIP,Food,True
C0213,Grainne,Brennan,grainne.brennan@gmail.com,2023-05-15,6,29.64,177.84,72,Occasional,Food,True
C0214,Sean,Kelly,sean214@gmail.com,2023-09-05,3,50.06,150.18,27,New,Non-Alcoholic,False
C0215,Aisling,Murphy,aisling.murphy@gmail.com,2024-07-17,8,53.53,428.24,88,Occasional,Draught Beer,True
C0216,Grainne,Hennessy,grainne.hennessy@gmail.com,2023-10-03,66,55.75,3679.5,660,VIP,Draught Beer,True
C0217,Grainne,Burke,grainne.burke@gmail.com,2023-05-30,90,60.39,5435.1,720,VIP,Non-Alcoholic,True
C0218,Brendan,Kavanagh,brendan.kavanagh@gmail.com,2023-05-01,2,49.25,98.5,20,New,Food,False
C0219,Aisling,Murphy,aisling219@gmail.com,2024-04-20,73,84.79,6189.67,657,VIP,Food,True
C0220,Jack,Hennessy,jack220@gmail.com,2023-06-21,24,35.67,856.08,192,Regular,Draught Beer,True
C0221,Patrick,Kelly,patrick.kelly@gmail.com,2023-10-24,41,55.85,2289.85,533,Regular,Food,True
C0222,Ciara,Walsh,ciara222@gmail.com,2024-03-15,35,48.72,1705.2,420,Regular,Wine,True
C0223,Ciara,Walsh,ciara223@gmail.com,2023-04-24,9,28.66,257.94,99,Occasional,Wine,True
C0224,Sean,Byrne,sean.byrne@gmail.com,2023-11-29,76,21.8,1656.8,988,VIP,Food,True
C0225,Eoin,Walsh,eoin.walsh@gmail.com,2023-01-11,112,40.88,4578.56,784,VIP,Non-Alcoholic,True
C0226,Niamh,Byrne,niamh.byrne@gmail.com,2024-04-26,99,67.6,6692.4,495,VIP,Draught Beer,True
C0227,Orla,Doyle,orla.doyle@gmail.com,2024-04-10,90,69.69,6272.1,810,VIP,Draught Beer,True
C0228,Eoin,Walsh,eoin228@gmail.com,2023-05-16,12,24.04,288.48,72,Occasional,Wine,True
C0229,Aoife,Hennessy,aoife.hennessy@gmail.com,2024-08-01,70,44.46,3112.2,700,VIP,Wine,True
C0230,Cian,McCarthy,cian.mccarthy@gmail.com,2023-08-03,51,21.82,1112.82,561,VIP,Draught Beer,True
C0231,Eoin,Hennessy,eoin.hennessy@gmail.com,2024-04-16,17,82.13,1396.21,102,Occasional,Food,True
C0232,Cian,Burke,cian.burke@gmail.com,2023-08-18,96,46.68,4481.28,1248,VIP,Draught Beer,True
C0233,Aisling,Hennessy,aisling.hennessy@gmail.com,2023-12-11,50,68.96,3448.0,350,VIP,Food,True
C0234,Fionn,O'Brien,fionn.obrien@gmail.com,2023-04-23,10,48.34,483.4,150,Occasional,Draught Beer,True
